                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.43324,                0.29646,                0.87016,                0.97801,                0.93799,                0.97516,                 0.8207,                 0.6892,                0.42343,                 1.0472,             0.00074347,             0.00074347,             0.00074347
                     36,                 0.4287,                0.29727,                0.86637,                0.99204,                0.93234,                0.97909,                0.84183,                0.65646,                0.39624,                 1.0154,             0.00072973,             0.00072973,             0.00072973
                     37,                0.41486,                0.28548,                 0.8653,                0.98863,                0.94464,                0.97859,                0.82855,                0.67715,                0.39812,                 1.0256,             0.00071576,             0.00071576,             0.00071576
                     38,                0.41346,                0.28725,                0.85732,                0.98002,                0.94844,                0.98273,                0.83577,                0.65833,                 0.3712,                 1.0155,             0.00070159,             0.00070159,             0.00070159
                     39,                0.40498,                0.27911,                0.85664,                0.99351,                0.94147,                0.98107,                0.83446,                0.67079,                0.37431,                 1.0364,             0.00068722,             0.00068722,             0.00068722
                     40,                0.41169,                0.28448,                0.86562,                0.97839,                0.94376,                0.98033,                   0.84,                0.65793,                0.39243,                 1.0224,             0.00067268,             0.00067268,             0.00067268
                     41,                0.40498,                0.28452,                0.85657,                 0.9831,                0.94542,                0.98678,                0.84713,                 0.6585,                0.36374,                 1.0231,             0.00065796,             0.00065796,             0.00065796
                     42,                0.39466,                0.27381,                0.85829,                0.97918,                0.95056,                0.98333,                0.83722,                0.66614,                0.37702,                 1.0228,              0.0006431,              0.0006431,              0.0006431
                     43,                0.40816,                  0.281,                0.86999,                0.98545,                0.95219,                 0.9894,                0.83991,                0.65373,                0.34141,                 1.0167,              0.0006281,              0.0006281,              0.0006281
                     44,                0.39403,                  0.269,                0.85308,                0.98273,                0.94464,                0.97851,                 0.8361,                0.65623,                0.36299,                 1.0216,             0.00061298,             0.00061298,             0.00061298
                     45,                0.38159,                0.26646,                0.85315,                0.98572,                0.93993,                0.97839,                0.84148,                0.65966,                 0.3827,                  1.017,             0.00059775,             0.00059775,             0.00059775
                     46,                0.39029,                0.27129,                0.84815,                0.96968,                 0.9464,                0.97986,                0.84119,                0.64768,                0.38446,                 1.0104,             0.00058244,             0.00058244,             0.00058244
                     47,                0.38374,                0.26891,                0.85335,                 0.9853,                0.94264,                0.98045,                 0.8455,                0.64042,                0.37797,                 1.0109,             0.00056704,             0.00056704,             0.00056704
                     48,                0.38008,                0.26207,                0.84544,                0.98199,                0.94947,                0.98388,                0.84685,                0.64715,                 0.3598,                 1.0183,             0.00055158,             0.00055158,             0.00055158
                     49,                0.38092,                0.25868,                0.85092,                0.98967,                0.95914,                0.98816,                0.85113,                0.64501,                0.33641,                 1.0128,             0.00053608,             0.00053608,             0.00053608
                     50,                0.36329,                 0.2508,                0.83977,                0.98105,                 0.9554,                0.98612,                0.84362,                0.66255,                0.34887,                 1.0246,             0.00052055,             0.00052055,             0.00052055
                     51,                0.37326,                0.25505,                0.85087,                0.98816,                0.95782,                0.98657,                0.85265,                0.64506,                0.35313,                 1.0044,               0.000505,               0.000505,               0.000505
                     52,                0.36175,                0.24924,                0.84868,                 0.9792,                0.95154,                0.98339,                0.85091,                0.63472,                0.36694,                0.99983,             0.00048945,             0.00048945,             0.00048945
                     53,                0.36134,                0.25154,                0.84575,                0.98853,                0.94859,                0.98459,                0.84801,                0.63169,                0.34352,                0.99916,             0.00047392,             0.00047392,             0.00047392
                     54,                0.35198,                0.24425,                0.83654,                 0.9741,                0.95826,                0.98599,                0.84607,                0.63766,                0.35462,                 1.0011,             0.00045842,             0.00045842,             0.00045842
                     55,                0.36143,                0.24784,                0.84402,                0.98056,                0.95303,                0.98448,                0.85408,                0.62496,                0.35763,                0.99573,             0.00044296,             0.00044296,             0.00044296
                     56,                0.35403,                0.24649,                 0.8456,                0.97885,                0.95299,                0.98558,                0.85253,                0.63473,                0.34926,                 1.0058,             0.00042756,             0.00042756,             0.00042756
                     57,                0.34673,                0.23898,                0.83426,                0.98366,                0.96353,                 0.9905,                0.85613,                0.64463,                0.33128,                 1.0035,             0.00041225,             0.00041225,             0.00041225
                     58,                0.34919,                0.23862,                0.83813,                0.98729,                0.95534,                0.98856,                0.85335,                0.62559,                0.32707,                0.99289,             0.00039702,             0.00039702,             0.00039702
                     59,                0.34614,                0.23801,                0.83327,                0.98767,                0.95047,                0.98531,                0.85608,                0.62332,                0.34129,                0.98758,              0.0003819,              0.0003819,              0.0003819
                     60,                0.33235,                0.22484,                0.82787,                0.98327,                0.96178,                0.98701,                0.85873,                0.62299,                0.34114,                0.99276,              0.0003669,              0.0003669,              0.0003669
                     61,                0.34491,                0.23401,                0.83219,                 0.9874,                0.96413,                0.98745,                0.85535,                0.62614,                0.32175,                0.99797,             0.00035204,             0.00035204,             0.00035204
                     62,                0.33969,                0.22854,                0.83727,                0.98368,                0.95314,                 0.9861,                0.85484,                0.63553,                0.33618,                0.99807,             0.00033732,             0.00033732,             0.00033732
