                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.51106,                0.26608,                      0,                0.35483,                0.90652,                0.97107,                 0.8996,                 0.9484,                0.76454,                0.95938,                0.89252,                0.93437,                0.84593,                0.78805,                0.48481,                      0,                0.57647,                 1.0947,             0.00089613,             0.00089613,             0.00089613
                     23,                0.49992,                0.24397,                      0,                0.35148,                0.89774,                0.96104,                0.84541,                 0.9172,                0.74106,                0.93395,                0.83245,                0.88603,                0.80223,                 0.8073,                0.56402,                      0,                0.68931,                 1.1023,              0.0008864,              0.0008864,              0.0008864
                     24,                 0.4925,                0.25686,                      0,                0.34656,                0.89989,                0.96121,                 0.8862,                0.94567,                0.76298,                0.95135,                0.87786,                0.92687,                0.83667,                0.78678,                0.46925,                      0,                0.55042,                 1.0841,              0.0008763,              0.0008763,              0.0008763
                     25,                 0.4808,                0.22448,                      0,                0.33302,                0.89131,                0.96286,                0.91133,                0.95934,                0.78024,                0.94677,                0.89895,                0.93389,                0.83113,                0.76064,                0.50788,                      0,                0.50454,                 1.0613,             0.00086584,             0.00086584,             0.00086584
                     26,                0.48585,                0.25629,                      0,                0.33713,                0.87541,                 0.9743,                0.91652,                0.96782,                0.79183,                0.95724,                0.90598,                0.94484,                 0.8644,                0.73346,                0.43455,                      0,                0.48951,                  1.052,             0.00085502,             0.00085502,             0.00085502
                     27,                0.47564,                 0.2307,                      0,                0.33956,                0.88955,                0.97305,                0.91213,                0.96231,                0.78503,                0.96189,                0.90466,                0.94536,                0.86564,                0.75523,                0.43506,                      0,                0.49714,                 1.0643,             0.00084385,             0.00084385,             0.00084385
                     28,                0.47233,                0.21977,                      0,                0.33721,                0.88474,                0.96683,                0.92205,                0.97034,                0.79184,                0.95268,                0.90641,                0.94669,                0.86778,                0.74271,                0.44167,                      0,                0.48412,                  1.042,             0.00083235,             0.00083235,             0.00083235
                     29,                0.46392,                0.21244,                      0,                0.32824,                 0.8849,                0.97824,                0.89851,                0.95699,                0.79231,                0.96321,                0.89323,                0.94071,                0.86438,                0.71664,                0.43608,                      0,                0.49971,                 1.0407,             0.00082052,             0.00082052,             0.00082052
                     30,                0.45617,                0.22871,                      0,                0.32425,                0.88717,                  0.964,                0.92952,                0.96989,                0.80026,                0.95397,                0.91972,                0.94905,                0.86549,                0.72009,                0.41626,                      0,                0.45648,                 1.0383,             0.00080839,             0.00080839,             0.00080839
                     31,                0.44833,                0.22066,                      0,                 0.3169,                0.87673,                0.96806,                0.91898,                0.96459,                0.79114,                0.95652,                 0.9085,                0.94429,                0.86204,                0.70742,                0.41723,                      0,                 0.4609,                 1.0312,             0.00079595,             0.00079595,             0.00079595
                     32,                0.43764,                0.23154,                      0,                0.30425,                0.86357,                0.98984,                0.94152,                0.97432,                 0.8059,                0.97826,                0.92907,                0.95699,                0.88029,                0.70171,                0.40146,                      0,                0.42066,                 1.0308,             0.00078323,             0.00078323,             0.00078323
                     33,                0.44569,                0.22276,                      0,                0.31647,                0.87807,                0.97193,                0.93761,                0.97366,                0.80399,                0.96299,                 0.9297,                0.96082,                0.88691,                0.71918,                0.37419,                      0,                0.43282,                 1.0437,             0.00077023,             0.00077023,             0.00077023
                     34,                0.43536,                0.23011,                      0,                0.30623,                0.86582,                0.97183,                0.92838,                0.96541,                0.80932,                 0.9605,                0.91879,                0.95157,                0.88306,                0.69277,                0.38442,                      0,                0.45287,                 1.0302,             0.00075698,             0.00075698,             0.00075698
                     35,                0.43386,                 0.2487,                      0,                 0.3069,                 0.8694,                 0.9865,                0.93137,                 0.9734,                 0.8197,                0.97885,                0.92443,                0.96263,                0.88582,                0.69787,                0.40175,                      0,                0.42251,                  1.032,             0.00074347,             0.00074347,             0.00074347
                     36,                0.42921,                0.20344,                      0,                0.30496,                0.86395,                0.96515,                0.93704,                0.97658,                0.81279,                0.95482,                0.92882,                0.96185,                0.88827,                0.69565,                0.37637,                      0,                 0.4292,                 1.0282,             0.00072973,             0.00072973,             0.00072973
                     37,                0.42451,                0.20055,                      0,                0.29999,                0.86641,                0.97341,                0.93272,                0.97183,                0.81049,                0.96561,                0.92525,                0.95958,                0.88372,                0.68067,                0.38411,                      0,                 0.4195,                 1.0195,             0.00071576,             0.00071576,             0.00071576
                     38,                0.41331,                0.21057,                      0,                0.29449,                0.85425,                0.97171,                0.89675,                0.94854,                0.78977,                0.96393,                0.88972,                0.93355,                0.85566,                0.70391,                0.41212,                      0,                0.48512,                 1.0381,             0.00070159,             0.00070159,             0.00070159
                     39,                0.40931,                0.20075,                      0,                0.29061,                0.85702,                0.96619,                0.93629,                0.97133,                0.81764,                0.96369,                0.93453,                0.96631,                0.89144,                0.69606,                0.39873,                      0,                0.42716,                 1.0306,             0.00068722,             0.00068722,             0.00068722
                     40,                0.41583,                0.22559,                      0,                0.29452,                0.86385,                0.98042,                0.92707,                0.97606,                0.81988,                 0.9715,                0.91828,                0.96383,                0.89074,                0.68347,                0.38666,                      0,                0.41301,                 1.0186,             0.00067268,             0.00067268,             0.00067268
                     41,                0.41561,                0.20723,                      0,                0.29039,                0.85792,                0.98098,                0.95168,                0.98136,                0.83102,                0.97686,                0.94596,                0.96982,                0.90078,                0.66399,                 0.3576,                      0,                0.37576,                 1.0082,             0.00065796,             0.00065796,             0.00065796
                     42,                0.39793,                0.18238,                      0,                0.28135,                0.85645,                 0.9641,                0.93278,                0.98007,                0.81867,                0.95521,                0.92399,                0.96467,                0.89566,                0.68628,                0.36901,                      0,                0.43398,                 1.0102,              0.0006431,              0.0006431,              0.0006431
                     43,                0.41295,                0.19645,                      0,                0.29301,                0.86715,                0.97846,                  0.938,                0.97629,                0.82916,                0.97021,                0.93009,                0.96276,                0.89602,                0.65648,                0.35356,                      0,                0.39459,                0.99755,              0.0006281,              0.0006281,              0.0006281
                     44,                0.39556,                0.17476,                      0,                0.27887,                0.84926,                0.98389,                0.92663,                0.97768,                0.82796,                0.97668,                0.92004,                0.96515,                0.89519,                0.65724,                0.35871,                      0,                0.39687,                0.99714,             0.00061298,             0.00061298,             0.00061298
