                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 0.2706,                0.34605,                0.19716,                0.79562,                0.96586,                0.85807,                0.92113,                0.78243,                0.95486,                 0.8465,                0.90695,                0.66797,                0.70449,                 2.3026,                0.51797,                0.97458,             0.00045068,             0.00045068,             0.00045068
                    110,                0.27368,                0.36601,                 0.1969,                0.79019,                0.96805,                0.85849,                0.92145,                 0.7822,                0.95619,                0.84629,                0.90739,                0.66824,                0.70292,                 2.3001,                0.51595,                  0.974,             0.00044296,             0.00044296,             0.00044296
                    111,                0.27355,                0.38581,                0.19749,                0.78722,                0.96631,                0.85831,                0.92088,                0.78222,                0.95569,                0.84699,                0.90719,                0.66803,                0.70175,                 2.2978,                0.51479,                0.97419,             0.00043525,             0.00043525,             0.00043525
                    112,                0.27486,                0.37613,                0.20175,                0.79232,                0.96765,                0.85682,                0.92135,                0.78281,                0.95602,                0.84539,                0.90732,                0.66925,                0.70137,                  2.299,                0.51351,                0.97445,             0.00042756,             0.00042756,             0.00042756
                    113,                0.26591,                0.40888,                0.19604,                0.79134,                0.96714,                0.85585,                0.92115,                0.78239,                0.95528,                0.84489,                0.90658,                0.66904,                0.70087,                 2.3085,                0.51061,                0.97427,              0.0004199,              0.0004199,              0.0004199
                    114,                0.26293,                0.34011,                0.19081,                 0.7858,                0.96637,                0.85558,                0.92157,                0.78349,                 0.9565,                0.84365,                0.90722,                0.66926,                0.69947,                  2.309,                0.51012,                0.97339,             0.00041225,             0.00041225,             0.00041225
                    115,                0.26472,                0.35132,                0.19514,                 0.7913,                0.96798,                0.85652,                0.92163,                0.78459,                0.95474,                0.84429,                0.90703,                 0.6697,                0.69755,                 2.3103,                0.50946,                0.97189,             0.00040462,             0.00040462,             0.00040462
                    116,                0.26895,                0.34903,                0.19374,                0.79322,                0.96588,                0.85956,                0.92341,                0.78592,                0.95416,                0.84738,                0.90857,                0.67185,                0.69732,                 2.3027,                0.51087,                0.97061,             0.00039702,             0.00039702,             0.00039702
                    117,                0.26367,                0.33779,                 0.1928,                0.78647,                0.96865,                0.85906,                0.92317,                0.78647,                0.95656,                0.84589,                0.90882,                0.67205,                0.69681,                  2.305,                0.51094,                 0.9696,             0.00038944,             0.00038944,             0.00038944
                    118,                0.26389,                0.34727,                0.19164,                0.78797,                0.96806,                0.85876,                0.92329,                0.78689,                0.95588,                0.84589,                0.90835,                0.67225,                0.69614,                 2.3036,                0.51086,                0.96871,              0.0003819,              0.0003819,              0.0003819
                    119,                0.25986,                0.35204,                0.18548,                0.79552,                0.96716,                0.85645,                0.92287,                0.78601,                0.95396,                0.84466,                  0.908,                0.67173,                0.69531,                 2.3019,                0.51066,                0.96707,             0.00037438,             0.00037438,             0.00037438
                    120,                0.26183,                0.34251,                0.19019,                0.78495,                0.96768,                0.85575,                0.92271,                0.78648,                0.95513,                0.84141,                0.90798,                0.67175,                0.69429,                 2.2946,                0.51017,                0.96611,              0.0003669,              0.0003669,              0.0003669
                    121,                0.26261,                 0.3391,                0.18924,                0.79449,                0.96838,                0.85268,                0.92256,                0.78697,                0.95524,                0.84042,                0.90813,                0.67233,                0.69373,                 2.2921,                0.51028,                0.96565,             0.00035945,             0.00035945,             0.00035945
                    122,                0.26445,                0.34373,                0.19163,                 0.7929,                0.96655,                0.85463,                0.92274,                0.78713,                 0.9543,                0.84096,                 0.9085,                 0.6727,                0.69318,                 2.2952,                0.51144,                0.96514,             0.00035204,             0.00035204,             0.00035204
                    123,                0.25737,                0.35305,                 0.1879,                0.78654,                0.96784,                0.85384,                0.92349,                0.78781,                0.95562,                0.84027,                0.90927,                0.67359,                0.69296,                 2.3047,                0.51136,                0.96452,             0.00034466,             0.00034466,             0.00034466
