                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.43672,                 0.6044,                0.31585,                0.85745,                0.97898,                0.91344,                0.95653,                0.80166,                0.97083,                0.90598,                0.94526,                0.69453,                0.69303,                 1.4878,                0.50183,                 1.0147,              0.0008763,              0.0008763,              0.0008763
                     25,                0.43149,                0.61347,                0.31003,                0.84793,                 0.9657,                0.93717,                0.96771,                0.80598,                0.95795,                 0.9297,                0.95575,                0.69783,                0.71195,                 1.5463,                0.47332,                 1.0409,             0.00086584,             0.00086584,             0.00086584
                     26,                0.43222,                0.58986,                0.31125,                  0.844,                0.98011,                0.90909,                0.95706,                0.80143,                 0.9733,                0.90114,                0.94643,                 0.6831,                0.69733,                 1.6641,                0.48058,                 1.0103,             0.00085502,             0.00085502,             0.00085502
                     27,                0.43591,                0.54873,                0.31188,                0.84852,                0.98009,                0.90816,                0.94533,                0.78912,                0.97108,                0.89981,                0.93114,                0.67075,                0.68239,                 1.6293,                0.49701,                0.99953,             0.00084385,             0.00084385,             0.00084385
                     28,                 0.4285,                0.50658,                0.30491,                 0.8485,                0.97727,                0.94112,                 0.9788,                0.83054,                0.97202,                0.93119,                 0.9668,                0.71047,                0.68232,                 1.5495,                0.42449,                0.99466,             0.00083235,             0.00083235,             0.00083235
                     29,                0.42752,                0.57161,                0.31069,                0.84794,                0.97694,                 0.9306,                0.96355,                0.80465,                0.97233,                 0.9262,                 0.9541,                0.68949,                0.70734,                 1.7507,                0.44685,                  1.013,             0.00082052,             0.00082052,             0.00082052
                     30,                0.43768,                0.53189,                0.30469,                0.84387,                 0.9755,                0.92715,                0.95546,                0.79763,                0.96762,                0.91652,                0.94327,                0.68724,                0.69567,                   1.62,                0.46961,                 1.0165,             0.00080839,             0.00080839,             0.00080839
                     31,                0.40354,                0.53718,                0.29148,                 0.8417,                 0.9734,                0.91638,                0.95738,                0.80752,                0.96499,                0.90826,                0.94551,                0.69544,                0.67827,                 1.6502,                   0.49,                0.99559,             0.00079595,             0.00079595,             0.00079595
                     32,                0.39881,                0.51833,                0.28604,                0.82966,                0.97927,                 0.9442,                0.97621,                0.82656,                0.97473,                0.93223,                0.96477,                0.71386,                0.67283,                 1.6725,                0.40831,                0.99493,             0.00078323,             0.00078323,             0.00078323
                     33,                0.39689,                0.56015,                0.28626,                0.84277,                0.98504,                0.92551,                0.97155,                0.82364,                0.97755,                0.91848,                 0.9607,                0.71008,                0.68194,                 1.6628,                0.46346,                0.98534,             0.00077023,             0.00077023,             0.00077023
